Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
ODI,51,43,8,861,80,24.6,1116,77.15,0,0,4,74,14,Geraint Jones
T20I,2,2,1,33,19,33.0,25,132.0,0,0,0,5,0,Geraint Jones
ODI,51,46,5,1097,106,26.76,1504,72.94,2,0,5,135,7,Vikram Solanki
T20I,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1,Vikram Solanki
Test,100,178,6,7037,177,40.91,14383,48.93,21,0,27,867,10,Sir Andrew Strauss
ODI,127,126,7,4205,158,35.34,5194,80.96,6,0,27,454,25,Sir Andrew Strauss
T20I,4,4,0,73,33,18.25,64,114.06,0,0,0,9,0,Sir Andrew Strauss
Test,28,54,3,1546,153,30.31,3732,41.43,1,0,12,182,7,Tatenda Taibu
ODI,150,137,21,3393,107,29.25,5020,67.59,2,0,22,235,32,Tatenda Taibu
T20I,16,15,6,254,45,28.22,250,101.6,0,0,0,19,2,Tatenda Taibu
IPL,3,3,0,31,15,10.33,26,119.23,0,0,0,3,0,Tatenda Taibu
Test,14,27,0,569,88,21.07,1133,50.22,0,0,4,67,6,Elton Chigumbura
ODI,213,198,26,4340,117,25.23,5423,80.03,2,0,19,343,106,Elton Chigumbura
T20I,56,55,8,864,54,18.38,621,139.13,0,0,3,56,53,Elton Chigumbura
Test,8,16,1,351,57,23.4,694,50.58,0,0,2,46,3,Stuart Matsikenyeri
ODI,113,110,9,2224,90,22.02,3072,72.4,0,0,13,209,18,Stuart Matsikenyeri
T20I,9,9,0,44,15,4.89,63,69.84,0,0,0,4,0,Stuart Matsikenyeri
Test,1,2,1,15,14,15.0,45,33.33,0,0,0,2,0,Tawanda Mupariwa
ODI,40,32,10,185,33,8.41,325,56.92,0,0,0,14,2,Tawanda Mupariwa
T20I,4,2,2,5,3,0.0,3,166.67,0,0,0,0,0,Tawanda Mupariwa
Test,10,15,2,187,47,14.38,452,41.37,0,0,0,23,1,Mluleki Nkala
ODI,50,35,5,324,47,10.8,526,61.6,0,0,0,22,4,Mluleki Nkala
T20I,1,1,0,1,1,1.0,3,33.33,0,0,0,0,0,Mluleki Nkala
ODI,39,23,13,55,9,5.5,134,41.04,0,0,0,2,1,Ed Rainsford
T20I,2,1,1,1,1,0.0,2,50.0,0,0,0,0,0,Ed Rainsford
Test,34,68,4,2320,171,36.25,4138,56.07,6,0,12,254,22,Brendan Taylor
ODI,205,203,15,6684,145,35.55,8722,76.63,11,0,39,599,106,Brendan Taylor
T20I,44,44,5,859,60,22.03,747,114.99,0,0,5,87,21,Brendan Taylor
