Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
T20I,9,5,4,43,15,43.0,47,91.49,0,0,0,2,0,Nikita Miller
ODI,9,8,1,146,59,20.86,194,75.26,0,0,1,14,5,Shawn Findlay
T20I,2,2,0,32,19,16.0,31,103.23,0,0,0,4,0,Shawn Findlay
Test,1,2,0,21,13,10.5,50,42.0,0,0,0,3,0,Darren Pattinson
ODI,46,34,4,516,71,17.2,672,76.79,0,0,2,38,19,Mudassar Bukhari
T20I,36,25,8,147,28,8.65,144,102.08,0,0,0,8,4,Mudassar Bukhari
ODI,34,32,3,480,97,16.55,774,62.02,0,0,1,46,2,Tom de Grooth
T20I,14,11,3,158,49,19.75,148,106.76,0,0,0,16,1,Tom de Grooth
ODI,57,39,10,347,43,11.97,593,58.52,0,0,0,26,5,Pieter Seelaar
T20I,75,46,12,591,96,17.38,532,111.09,0,0,1,43,12,Pieter Seelaar
Test,115,195,12,8947,254,48.89,16039,55.78,29,7,30,1001,27,Virat Kohli
ODI,295,283,44,13906,183,58.18,14866,93.54,50,0,72,1302,152,Virat Kohli
T20I,125,117,31,4188,122,48.7,3056,137.04,1,0,38,369,124,Virat Kohli
IPL,252,244,37,8004,113,38.67,6065,131.97,8,0,55,705,272,Virat Kohli
Test,6,9,0,151,42,16.78,338,44.67,0,0,0,16,1,Samit Patel
ODI,36,22,7,482,70,32.13,517,93.23,0,0,1,37,12,Samit Patel
T20I,18,14,2,189,67,15.75,173,109.25,0,0,1,17,5,Samit Patel
ODI,88,87,5,3192,156,38.93,3874,82.4,5,0,21,412,40,Kyle Coetzer
T20I,69,68,2,1495,89,22.65,1254,119.22,0,0,6,158,48,Kyle Coetzer
ODI,87,86,7,3024,175,38.28,3749,80.66,10,0,13,313,35,Calum MacLeod
T20I,64,61,9,1239,74,23.83,1115,111.12,0,0,7,107,23,Calum MacLeod
Test,9,16,0,403,66,25.19,832,48.44,0,0,2,55,1,Leon Johnson
ODI,6,6,0,98,51,16.33,175,56.0,0,0,1,10,2,Leon Johnson
Test,21,33,0,1103,114,33.42,2548,43.29,2,0,8,130,3,Brendan Nash
ODI,9,7,3,104,39,26.0,141,73.76,0,0,0,11,1,Brendan Nash
ODI,3,2,0,19,16,9.5,31,61.29,0,0,0,1,0,Sami Faridi
ODI,19,19,0,455,72,23.95,679,67.01,0,0,6,40,11,Ruvindu Gunasekera
T20I,8,8,0,202,65,25.25,188,107.45,0,0,1,23,4,Ruvindu Gunasekera
ODI,3,3,1,87,46,43.5,79,110.13,0,0,0,10,3,Karun Jethi
T20I,5,5,1,41,24,10.25,59,69.49,0,0,0,0,2,Karun Jethi
ODI,5,3,1,23,12,11.5,41,56.1,0,0,0,0,0,Eion Katchay
T20I,4,3,2,15,8,15.0,25,60.0,0,0,0,0,0,Eion Katchay
ODI,33,32,1,764,94,24.65,685,111.53,0,0,6,92,35,Rizwan Cheema
T20I,24,24,1,389,72,16.91,314,123.89,0,0,2,33,28,Rizwan Cheema
ODI,6,6,0,65,20,10.83,145,44.83,0,0,0,5,1,Oronde Bascome
T20I,3,3,0,24,16,8.0,29,82.76,0,0,0,3,0,Oronde Bascome
ODI,2,2,0,122,69,61.0,218,55.96,0,0,2,14,1,Chris Douglas
ODI,8,7,1,70,20,11.67,142,49.3,0,0,0,7,2,Ryan Steede
ODI,1,1,1,15,15,0.0,26,57.69,0,0,0,0,1,Dennico Hollis
ODI,23,21,3,323,49,17.94,642,50.31,0,0,0,30,0,Zubin Surkari
T20I,4,3,0,10,6,3.33,33,30.3,0,0,0,0,0,Zubin Surkari
ODI,10,8,0,59,24,7.38,87,67.82,0,0,0,4,1,Balaji Rao
T20I,4,4,1,32,22,10.67,30,106.67,0,0,0,1,2,Balaji Rao
ODI,39,35,4,621,92,20.03,977,63.56,0,0,2,56,7,Rakep Patel
T20I,78,65,14,1375,73,26.96,1021,134.67,0,0,7,99,81,Rakep Patel
ODI,2,2,2,10,10,0.0,11,90.91,0,0,0,1,0,Brett Geeves
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Brett Geeves
IPL,2,0,0,0,-,-,0,-,0,0,0,0,0,Brett Geeves
ODI,10,4,2,61,29,30.5,41,148.78,0,0,0,6,3,Regan West
T20I,5,4,1,11,8,3.67,11,100.0,0,0,0,1,0,Regan West
Test,4,8,1,164,81,23.43,346,47.4,0,0,2,12,2,Moises Henriques
ODI,16,15,2,117,22,9.0,192,60.94,0,0,0,10,0,Moises Henriques
T20I,24,21,4,355,62,20.88,285,124.56,0,0,2,17,15,Moises Henriques
IPL,62,54,18,1000,74,27.78,788,126.9,0,0,5,87,28,Moises Henriques
Test,26,49,2,1535,160,32.66,2866,53.56,3,0,7,199,11,Phillip Hughes
ODI,25,24,1,826,138,35.91,1100,75.09,2,0,4,91,5,Phillip Hughes
T20I,1,1,0,6,6,6.0,8,75.0,0,0,0,1,0,Phillip Hughes
Test,21,35,2,1171,128,35.48,2433,48.13,5,0,4,143,5,Marcus North
ODI,2,2,0,6,5,3.0,19,31.58,0,0,0,0,0,Marcus North
T20I,1,1,0,20,20,20.0,21,95.24,0,0,0,1,0,Marcus North
Test,5,8,1,183,53,26.14,311,58.84,0,0,1,15,8,George Bailey
ODI,90,85,10,3044,156,40.59,3645,83.51,3,0,22,223,57,George Bailey
T20I,30,26,7,473,63,24.89,346,136.71,0,0,2,37,20,George Bailey
IPL,40,37,10,663,61,24.56,544,121.88,0,0,2,59,19,George Bailey
Test,27,39,11,603,74,21.54,955,63.14,0,0,3,63,9,Ryan Harris
ODI,21,13,7,48,21,8.0,48,100.0,0,0,0,3,1,Ryan Harris
T20I,3,1,1,2,2,0.0,1,200.0,0,0,0,0,0,Ryan Harris
IPL,37,21,9,117,17,9.75,112,104.46,0,0,0,6,3,Ryan Harris
Test,2,4,1,71,32,23.67,146,48.63,0,0,0,8,0,Jason Krejza
ODI,8,2,1,13,7,13.0,23,56.52,0,0,0,0,0,Jason Krejza
Test,67,94,15,1164,51,14.73,2469,47.14,0,0,2,126,4,Peter Siddle
ODI,20,6,3,31,10,10.33,30,103.33,0,0,0,2,0,Peter Siddle
T20I,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,Peter Siddle
Test,1,2,0,2,2,1.0,16,12.5,0,0,0,0,0,Bryce McGain
Test,34,58,1,2315,190,40.61,3458,66.95,7,0,5,316,12,Shikhar Dhawan
ODI,167,164,10,6793,143,44.11,7436,91.35,17,0,39,842,79,Shikhar Dhawan
T20I,68,66,3,1759,92,27.92,1392,126.36,0,0,11,191,50,Shikhar Dhawan
IPL,222,221,28,6768,106,35.07,5324,127.12,2,0,51,768,152,Shikhar Dhawan
Test,85,144,12,5077,188,38.46,10256,49.5,12,0,26,579,35,Ajinkya Rahane
ODI,90,87,3,2962,111,35.26,3767,78.63,3,0,24,293,33,Ajinkya Rahane
T20I,20,20,2,375,61,20.83,331,113.29,0,0,1,32,6,Ajinkya Rahane
IPL,185,171,17,4642,105,30.14,3761,123.42,2,0,30,478,103,Ajinkya Rahane
Test,103,176,11,7195,206,43.61,16217,44.37,19,3,35,863,16,Cheteshwar Pujara
ODI,5,5,0,51,27,10.2,130,39.23,0,0,0,4,0,Cheteshwar Pujara
IPL,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4,Cheteshwar Pujara
Test,1,2,0,11,6,5.5,24,45.83,0,0,0,2,0,Vinay Kumar
ODI,31,13,4,86,27,9.56,146,58.9,0,0,0,5,2,Vinay Kumar
T20I,9,1,1,2,2,0.0,4,50.0,0,0,0,0,0,Vinay Kumar
IPL,105,46,18,310,26,11.07,274,113.14,0,0,0,21,9,Vinay Kumar
ODI,4,1,1,1,1,0.0,2,50.0,0,0,0,0,0,Sudeep Tyagi
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Sudeep Tyagi
IPL,14,3,2,3,3,3.0,4,75.0,0,0,0,0,0,Sudeep Tyagi
ODI,12,2,2,27,25,0.0,28,96.43,0,0,0,2,1,Dhawal Kulkarni
T20I,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,Dhawal Kulkarni
IPL,92,23,14,104,28,11.56,108,96.3,0,0,0,7,2,Dhawal Kulkarni
IPL,1,0,0,0,-,-,0,-,0,0,0,0,0,Mohnish Parmar
Test,22,32,2,648,84,21.6,1103,58.75,0,0,4,79,3,Amit Mishra
ODI,36,11,3,43,14,5.38,82,52.44,0,0,0,4,0,Amit Mishra
T20I,10,1,0,0,0,0.0,0,0.0,0,0,0,0,0,Amit Mishra
IPL,162,57,25,381,31,11.91,419,90.93,0,0,0,31,5,Amit Mishra
Test,2,3,0,32,20,10.67,72,44.44,0,0,0,5,0,Neil Broom
ODI,39,39,4,943,109,26.94,1161,81.22,1,0,5,78,12,Neil Broom
T20I,11,7,1,73,36,12.17,68,107.35,0,0,0,8,1,Neil Broom
Test,47,89,1,2586,189,29.39,5548,46.61,3,0,17,326,23,Martin Guptill
ODI,198,195,18,7346,237,41.5,8414,87.31,18,1,39,751,187,Martin Guptill
T20I,122,118,7,3531,105,31.81,2602,135.7,2,0,20,310,173,Martin Guptill
IPL,13,13,1,270,50,22.5,196,137.76,0,0,1,24,15,Martin Guptill
Test,75,117,16,3790,205,37.52,8894,42.61,8,1,19,429,8,BJ Watling
ODI,28,25,2,573,96,24.91,838,68.38,0,0,5,58,3,BJ Watling
T20I,5,4,0,38,22,9.5,58,65.52,0,0,0,3,0,BJ Watling
Test,5,10,3,169,57,24.14,419,40.33,0,0,1,19,1,Reece Young
IPL,20,20,0,423,60,21.15,339,124.78,0,0,2,56,10,Swapnil Asnodkar
ODI,3,1,1,0,0,0.0,7,0.0,0,0,0,0,0,Abhishek Nayar
IPL,60,50,12,672,45,17.68,577,116.46,0,0,0,55,20,Abhishek Nayar
IPL,32,25,6,375,60,19.74,317,118.3,0,0,1,35,9,Dwaraka Ravi Teja
Test,40,56,10,1353,117,29.41,2973,45.51,3,0,6,129,14,Wriddhiman Saha
ODI,9,5,2,41,16,13.67,56,73.21,0,0,0,5,0,Wriddhiman Saha
IPL,170,145,24,2934,115,24.25,2300,127.57,1,0,13,296,87,Wriddhiman Saha
ODI,13,5,0,21,16,4.2,36,58.33,0,0,0,1,0,Ashok Dinda
T20I,9,2,1,22,19,22.0,24,91.67,0,0,0,1,0,Ashok Dinda
IPL,78,17,7,26,7,2.6,48,54.17,0,0,0,2,0,Ashok Dinda
IPL,95,49,19,342,26,11.4,284,120.42,0,0,0,24,13,Rajat Bhatia
IPL,3,1,0,0,0,0.0,1,0.0,0,0,0,0,0,Chetanya Nanda
IPL,42,15,7,26,6,3.25,44,59.09,0,0,0,1,0,Pradeep Sangwan
T20I,2,2,0,19,11,9.5,38,50.0,0,0,0,0,0,Jeevantha Kulatunga
IPL,16,10,2,192,45,24.0,178,107.87,0,0,0,26,3,Yogesh Takawale
T20I,2,2,0,8,7,4.0,10,80.0,0,0,0,0,0,Abzal Dean
Test,6,10,1,194,78,21.56,333,58.26,0,0,1,23,1,Stuart Binny
ODI,14,11,3,230,77,28.75,246,93.5,0,0,1,23,5,Stuart Binny
T20I,3,2,0,35,24,17.5,29,120.69,0,0,0,2,1,Stuart Binny
IPL,95,68,22,880,48,19.13,683,128.84,0,0,0,66,35,Stuart Binny
Test,39,76,2,1797,150,24.28,3742,48.02,3,0,4,240,11,Imrul Kayes
ODI,78,78,2,2436,144,32.05,3423,71.17,4,0,16,238,37,Imrul Kayes
T20I,14,13,0,119,36,9.15,134,88.81,0,0,0,14,3,Imrul Kayes
Test,8,15,2,416,108,32.0,1110,37.48,1,0,1,52,4,Naeem Islam
ODI,59,51,15,975,84,27.08,1473,66.19,0,0,5,84,13,Naeem Islam
T20I,10,10,1,130,28,14.44,114,114.04,0,0,0,8,7,Naeem Islam
Test,4,7,3,5,2,1.25,72,6.94,0,0,0,0,0,Mahbubul Alam
ODI,5,2,0,81,59,40.5,71,114.08,0,0,1,3,4,Mahbubul Alam
T20I,4,4,0,65,50,16.25,74,87.84,0,0,1,7,0,Shoaib Khan
ODI,14,13,1,264,117,22.0,442,59.73,1,0,0,17,2,Sandeep Jyoti
T20I,2,2,1,10,10,10.0,20,50.0,0,0,0,0,0,Sandeep Jyoti
ODI,9,9,0,154,45,17.11,132,116.67,0,0,0,18,9,Cephas Zhuwao
T20I,7,7,0,48,24,6.86,66,72.73,0,0,0,7,1,Cephas Zhuwao
ODI,20,20,0,419,74,20.95,751,55.79,0,0,2,48,2,Seren Waters
Test,102,143,15,3423,124,26.74,6281,54.5,6,0,14,392,23,Ravichandran Ashwin
ODI,116,63,20,707,65,16.44,813,86.96,0,0,1,60,7,Ravichandran Ashwin
T20I,65,19,12,184,31,26.29,160,115.0,0,0,0,17,4,Ravichandran Ashwin
IPL,211,94,34,800,50,13.33,675,118.52,0,0,1,61,28,Ravichandran Ashwin
IPL,76,15,8,42,9,6.0,59,71.19,0,0,0,3,1,Siddharth Trivedi
IPL,8,6,1,49,16,9.8,39,125.64,0,0,0,5,2,Arjun Yadav
ODI,1,1,1,55,55,0.0,61,90.16,0,0,1,7,1,Faiz Fazal
IPL,12,11,1,183,45,18.3,173,105.78,0,0,0,21,1,Faiz Fazal
Test,61,105,1,3982,167,38.29,8601,46.3,12,0,15,467,33,Murali Vijay
ODI,17,16,0,339,72,21.19,506,67.0,0,0,1,33,3,Murali Vijay
T20I,9,9,0,169,48,18.78,154,109.74,0,0,0,13,8,Murali Vijay
IPL,106,106,5,2619,127,25.93,2149,121.87,2,0,13,247,91,Murali Vijay
Test,1,2,0,56,35,28.0,117,47.86,0,0,0,7,0,Naman Ojha
ODI,1,1,0,1,1,1.0,7,14.29,0,0,0,0,0,Naman Ojha
T20I,2,2,0,12,10,6.0,27,44.44,0,0,0,2,0,Naman Ojha
IPL,113,94,19,1554,94,20.72,1313,118.35,0,0,6,121,79,Naman Ojha
ODI,3,2,0,18,13,9.0,19,94.74,0,0,0,1,0,Laxmi Shukla
IPL,47,34,7,405,48,15.0,350,115.71,0,0,0,33,15,Laxmi Shukla
ODI,3,2,2,49,37,0.0,56,87.5,0,0,0,5,1,Saurabh Tiwary
IPL,93,74,22,1494,61,28.73,1244,120.1,0,0,8,111,50,Saurabh Tiwary
Test,4,6,4,23,17,11.5,55,41.82,0,0,0,3,0,Lionel Baker
ODI,10,4,2,13,11,6.5,23,56.52,0,0,0,2,0,Lionel Baker
T20I,3,0,0,0,-,-,0,-,0,0,0,0,0,Lionel Baker
Test,6,11,0,343,95,31.18,742,46.23,0,0,3,41,1,Travis Dowlin
ODI,11,11,2,228,100,25.33,348,65.52,1,0,1,20,1,Travis Dowlin
T20I,2,2,1,68,37,68.0,69,98.55,0,0,0,8,0,Travis Dowlin
T20I,52,16,10,43,14,7.17,65,66.15,0,0,0,1,1,Samuel Badree
IPL,12,5,0,13,8,2.6,23,56.52,0,0,0,0,0,Samuel Badree
Test,56,102,4,3538,218,36.1,7886,44.86,8,1,17,405,41,Darren Bravo
ODI,122,117,12,3109,124,29.61,4434,70.12,4,0,18,252,75,Darren Bravo
T20I,26,22,3,405,43,21.32,379,106.86,0,0,0,32,14,Darren Bravo
IPL,1,1,1,6,6,0.0,5,120.0,0,0,0,1,0,Darren Bravo
IPL,25,14,5,116,32,12.89,68,170.59,0,0,0,9,8,Kevon Cooper
ODI,3,1,0,23,23,23.0,7,328.57,0,0,0,1,3,Johann Louw
T20I,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,Johann Louw
Test,4,5,2,27,17,9.0,61,44.26,0,0,0,1,2,Rory Kleinveldt
ODI,10,7,0,105,43,15.0,124,84.68,0,0,0,9,5,Rory Kleinveldt
T20I,6,3,2,25,22,25.0,10,250.0,0,0,0,1,3,Rory Kleinveldt
Test,2,3,1,47,33,23.5,108,43.52,0,0,0,6,0,Ryan McLaren
ODI,54,41,15,485,71,18.65,680,71.32,0,0,1,42,6,Ryan McLaren
T20I,12,4,3,9,6,9.0,13,69.23,0,0,0,0,0,Ryan McLaren
IPL,18,13,5,159,51,19.88,171,92.98,0,0,1,14,1,Ryan McLaren
Test,114,202,27,7940,200,45.37,16399,48.42,16,1,44,808,87,Angelo Mathews
ODI,226,194,48,5916,139,40.52,7135,82.92,3,0,40,468,90,Angelo Mathews
T20I,90,73,22,1416,81,27.76,1175,120.51,0,0,6,92,50,Angelo Mathews
IPL,49,42,11,724,65,23.35,575,125.91,0,0,1,44,29,Angelo Mathews
Test,5,9,1,88,24,11.0,240,36.67,0,0,0,9,0,Shingirai Masakadza
ODI,16,11,3,170,45,21.25,177,96.05,0,0,0,17,8,Shingirai Masakadza
T20I,6,5,1,18,9,4.5,24,75.0,0,0,0,1,0,Shingirai Masakadza
Test,1,2,0,24,18,12.0,61,39.34,0,0,0,3,0,Forster Mutizwa
ODI,17,15,2,403,79,31.0,502,80.28,0,0,4,32,7,Forster Mutizwa
T20I,3,3,0,38,22,12.67,36,105.56,0,0,0,3,0,Forster Mutizwa
IPL,7,7,0,120,51,17.14,90,133.33,0,0,1,21,2,Aiden Blizzard
Test,5,10,0,278,62,27.8,618,44.98,0,0,2,30,1,Aaron Finch
ODI,146,142,3,5406,153,38.89,6163,87.72,17,0,30,533,129,Aaron Finch
T20I,103,103,12,3120,172,34.29,2189,142.53,2,0,19,309,125,Aaron Finch
IPL,92,90,6,2091,88,24.89,1631,128.2,0,0,15,214,78,Aaron Finch
Test,1,2,0,52,32,26.0,88,59.09,0,0,0,5,2,John Hastings
ODI,29,21,11,271,51,27.1,273,99.27,0,0,1,29,8,John Hastings
T20I,9,6,2,46,15,11.5,37,124.32,0,0,0,3,1,John Hastings
IPL,3,0,0,0,-,-,0,-,0,0,0,0,0,John Hastings
Test,4,6,1,107,68,21.4,217,49.31,0,0,1,11,0,Andrew McDonald
IPL,11,9,4,123,33,24.6,100,123.0,0,0,0,9,4,Andrew McDonald
Test,1,1,0,10,10,10.0,15,66.67,0,0,0,1,0,Clint McKay
ODI,59,31,10,190,30,9.05,337,56.38,0,0,0,15,2,Clint McKay
T20I,6,4,2,19,7,9.5,22,86.36,0,0,0,1,1,Clint McKay
IPL,2,1,0,8,8,8.0,15,53.33,0,0,0,0,0,Clint McKay
ODI,1,1,0,1,1,1.0,2,50.0,0,0,0,0,0,Dirk Nannes
T20I,17,5,3,22,12,11.0,18,122.22,0,0,0,1,1,Dirk Nannes
IPL,29,3,2,4,3,4.0,13,30.77,0,0,0,0,0,Dirk Nannes
Test,2,3,0,9,9,3.0,22,40.91,0,0,0,1,0,Rob Quiney
IPL,7,7,0,103,51,14.71,102,100.98,0,0,1,12,3,Rob Quiney
Test,36,63,9,1613,117,29.87,3203,50.36,4,0,5,175,12,Matthew Wade
ODI,97,83,12,1867,100,26.3,2288,81.6,1,0,11,129,34,Matthew Wade
T20I,92,68,22,1202,80,26.13,896,134.15,0,0,3,95,46,Matthew Wade
IPL,15,14,0,183,35,13.07,177,103.39,0,0,0,23,2,Matthew Wade
T20I,2,0,0,0,-,-,0,-,0,0,0,0,0,Yusuf Abdulla
IPL,11,1,1,0,0,0.0,1,0.0,0,0,0,0,0,Yusuf Abdulla
Test,4,8,0,113,34,14.12,297,38.05,0,0,0,18,0,Heino Kuhn
T20I,7,6,2,49,29,12.25,42,116.67,0,0,0,3,2,Heino Kuhn
ODI,27,17,3,167,57,11.93,187,89.3,0,0,1,12,6,Roelof van der Merwe
T20I,56,38,16,490,75,22.27,381,128.61,0,0,2,38,14,Roelof van der Merwe
IPL,21,15,4,159,35,14.45,141,112.77,0,0,0,11,8,Roelof van der Merwe
IPL,17,8,3,51,19,10.2,51,100.0,0,0,0,4,1,Arun Karthik
Test,1,0,0,0,-,-,0,-,0,0,0,0,0,Amjad Khan
T20I,9,7,0,49,16,7.0,54,90.74,0,0,0,2,1,Amjad Khan
Test,17,33,2,854,136,27.55,2359,36.2,2,0,4,98,7,Tim McIntosh
Test,5,5,2,19,8,6.33,53,35.85,0,0,0,2,0,Lonwabo Tsotsobe
ODI,61,21,13,56,16,7.0,109,51.38,0,0,0,7,1,Lonwabo Tsotsobe
T20I,23,3,2,2,1,2.0,10,20.0,0,0,0,0,0,Lonwabo Tsotsobe
ODI,1,0,0,0,-,-,0,-,0,0,0,0,0,Ewen Thompson
T20I,1,1,1,1,1,0.0,1,100.0,0,0,0,0,0,Ewen Thompson
Test,6,4,0,67,23,16.75,180,37.22,0,0,0,11,0,Wayne Parnell
ODI,73,43,15,574,56,20.5,723,79.39,0,0,1,43,9,Wayne Parnell
T20I,56,23,13,174,29,17.4,180,96.67,0,0,0,13,4,Wayne Parnell
IPL,33,14,4,65,16,6.5,80,81.25,0,0,0,4,1,Wayne Parnell
IPL,13,3,1,12,7,6.0,11,109.09,0,0,0,2,0,Ankeet Chavan
IPL,10,5,4,20,11,20.0,18,111.11,0,0,0,1,1,Rohan Raje
IPL,6,0,0,0,-,-,0,-,0,0,0,0,0,Palani Amarnath
IPL,18,5,3,15,6,7.5,27,55.56,0,0,0,0,0,Yo Mahesh
Test,7,14,0,320,81,22.86,700,45.71,0,0,2,32,1,Abhinav Mukund
IPL,3,2,0,19,19,9.5,22,86.36,0,0,0,1,0,Abhinav Mukund
Test,21,29,4,552,63,22.08,1225,45.06,0,0,3,77,1,Bhuvneshwar Kumar
ODI,121,55,16,552,53,14.15,747,73.9,0,0,1,46,8,Bhuvneshwar Kumar
T20I,87,21,13,67,16,8.38,94,71.28,0,0,0,0,0,Bhuvneshwar Kumar
IPL,176,68,33,306,27,8.74,326,93.87,0,0,0,30,3,Bhuvneshwar Kumar
Test,27,47,19,265,45,9.46,603,43.95,0,0,0,34,4,Rubel Hossain
ODI,104,53,24,144,17,4.97,277,51.99,0,0,0,14,2,Rubel Hossain
T20I,28,15,10,20,8,4.0,36,55.56,0,0,0,1,0,Rubel Hossain
Test,14,28,1,577,72,21.37,1136,50.79,0,0,4,68,1,Malcolm Waller
ODI,79,72,6,1258,99,19.06,1639,76.75,0,0,5,130,12,Malcolm Waller
T20I,31,31,8,613,68,26.65,443,138.37,0,0,1,42,28,Malcolm Waller
Test,112,205,8,8786,335,44.6,12516,70.2,26,3,37,1036,69,David Warner
ODI,161,159,5,6932,179,45.01,7127,97.26,22,0,33,733,130,David Warner
T20I,110,110,12,3277,100,33.44,2300,142.48,1,0,28,338,122,David Warner
IPL,184,184,22,6565,126,40.52,4697,139.77,4,0,62,664,235,David Warner
Test,4,8,0,99,33,12.38,197,50.25,0,0,0,13,0,Umar Amin
ODI,16,16,1,271,59,18.07,392,69.13,0,0,1,28,2,Umar Amin
T20I,14,9,0,142,47,15.78,123,115.45,0,0,0,15,4,Umar Amin
Test,3,6,0,125,69,20.83,165,75.76,0,0,1,20,3,Dale Richards
ODI,8,7,0,179,59,25.57,251,71.31,0,0,2,21,3,Dale Richards
T20I,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,Dale Richards
Test,19,33,5,540,61,19.29,1270,42.52,0,0,2,62,4,Adil Rashid
ODI,140,71,23,889,69,18.52,909,97.8,0,0,1,86,13,Adil Rashid
T20I,116,36,17,111,22,5.84,132,84.09,0,0,0,8,0,Adil Rashid
IPL,3,2,0,22,18,11.0,16,137.5,0,0,0,2,1,Adil Rashid
ODI,1,1,1,26,26,0.0,22,118.18,0,0,0,3,0,Brendon Diamanti
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Brendon Diamanti
Test,1,2,0,4,3,2.0,23,17.39,0,0,0,0,0,Callum Ferguson
ODI,30,25,9,663,71,41.44,777,85.33,0,0,5,64,0,Callum Ferguson
T20I,3,3,0,16,8,5.33,19,84.21,0,0,0,1,0,Callum Ferguson
IPL,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0,Callum Ferguson
Test,4,5,0,117,39,23.4,284,41.2,0,0,0,15,0,Indika de Saram
ODI,15,13,2,183,38,16.64,270,67.78,0,0,0,12,1,Indika de Saram
T20I,1,0,0,0,-,-,0,-,0,0,0,0,0,Indika de Saram
ODI,9,5,2,29,17,9.67,63,46.03,0,0,0,3,0,Josephat Ababu
ODI,2,2,0,12,7,6.0,39,30.77,0,0,0,0,0,Dwight Basden
Test,9,12,2,149,38,14.9,580,25.69,0,0,0,15,2,Gareth Batty
ODI,10,8,2,30,17,5.0,73,41.1,0,0,0,1,0,Gareth Batty
T20I,1,1,0,4,4,4.0,7,57.14,0,0,0,0,0,Gareth Batty
ODI,17,11,2,140,34,15.56,179,78.21,0,0,0,15,0,Atse Buurman
T20I,4,2,0,0,0,0.0,4,0.0,0,0,0,0,0,Atse Buurman
ODI,2,2,0,14,13,7.0,35,40.0,0,0,0,3,0,Haninder Dhillon
ODI,9,7,3,35,11,8.75,105,33.33,0,0,0,1,1,Hasan Durham
ODI,4,4,0,106,60,26.5,174,60.92,0,0,1,5,1,Chris Foggo
T20I,3,3,0,13,7,4.33,17,76.47,0,0,0,2,0,Chris Foggo
ODI,2,2,0,33,33,16.5,98,33.67,0,0,0,3,0,Treadwell Gibbons
ODI,4,4,0,41,19,10.25,92,44.57,0,0,0,5,0,Stewart Heaney
ODI,4,3,0,16,9,5.33,45,35.56,0,0,0,2,0,Nicholas Ifill
T20I,1,1,0,1,1,1.0,5,20.0,0,0,0,0,0,Jadavji Jesani
ODI,4,2,0,20,13,10.0,51,39.22,0,0,0,2,0,Maurits Jonkman
ODI,1,1,0,4,4,4.0,28,14.29,0,0,0,0,0,Chris Lonsdale
ODI,2,2,0,10,8,5.0,36,27.78,0,0,0,1,0,Neil MacRae
ODI,10,10,4,166,59,27.67,238,69.75,0,0,1,12,5,Don Maxwell
T20I,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,Mohammad Qazi
ODI,2,2,0,2,1,1.0,11,18.18,0,0,0,0,0,Daniel Morgan
ODI,1,0,0,0,-,-,0,-,0,0,0,0,0,Mangesh Panchal
ODI,31,25,3,360,44,16.36,736,48.91,0,0,0,46,1,Brijal Patel
ODI,2,2,1,1,1,1.0,4,25.0,0,0,0,0,0,Kalpesh Patel
ODI,3,3,0,20,12,6.67,28,71.43,0,0,0,2,1,Arthur Pitcher
ODI,1,0,0,0,-,-,0,-,0,0,0,0,0,Rizwan Ahmed
ODI,1,1,1,13,13,0.0,12,108.33,0,0,0,0,0,Surendra Seeraj
ODI,5,5,0,50,27,10.0,150,33.33,0,0,0,1,0,Ian Stanger
ODI,10,9,2,45,13,6.43,108,41.67,0,0,0,5,1,Sanjayan Thuraisingam
T20I,3,2,1,18,15,18.0,24,75.0,0,0,0,1,0,Sanjayan Thuraisingam
Test,70,109,25,935,42,11.13,1936,48.3,0,0,0,114,12,Suranga Lakmal
ODI,86,48,22,244,26,9.38,404,60.4,0,0,0,18,3,Suranga Lakmal
T20I,11,6,3,7,5,2.33,11,63.64,0,0,0,1,0,Suranga Lakmal
Test,32,60,5,1793,111,32.6,4275,41.94,2,0,11,205,5,Tharanga Paranavitana
Test,13,25,1,982,176,40.92,1926,50.99,3,0,4,99,8,Ahmed Shehzad
ODI,81,81,1,2605,124,32.56,3614,72.08,6,0,14,269,18,Ahmed Shehzad
T20I,59,59,2,1471,111,25.81,1281,114.83,1,0,7,157,33,Ahmed Shehzad
Test,4,5,1,34,19,8.5,72,47.22,0,0,0,4,2,Mohammad Talha
ODI,3,1,0,0,0,0.0,1,0.0,0,0,0,0,0,Mohammad Talha
Test,8,10,2,76,26,9.5,163,46.63,0,0,0,10,1,Ian Butler
ODI,26,13,5,84,25,10.5,154,54.55,0,0,0,6,2,Ian Butler
T20I,19,6,5,5,2,5.0,10,50.0,0,0,0,0,0,Ian Butler
ODI,1,1,1,15,15,0.0,40,37.5,0,0,0,0,0,Lesley Stokkers
IPL,4,4,1,11,7,3.67,19,57.89,0,0,0,0,1,Taruwar Kohli
